#SampleID	Metaphlan2_Analysis
k__Bacteria	99.99583
k__Viruses	0.00417
k__Bacteria|p__Bacteroidetes	80.17325
k__Bacteria|p__Firmicutes	18.92238
k__Bacteria|p__Proteobacteria	0.70674
k__Bacteria|p__Actinobacteria	0.18605
k__Bacteria|p__Verrucomicrobia	0.00741
k__Viruses|p__Viruses_noname	0.00417
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	80.17325
k__Bacteria|p__Firmicutes|c__Clostridia	18.60368
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.33939
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.32489
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.18605
k__Bacteria|p__Firmicutes|c__Negativicutes	0.148
k__Bacteria|p__Firmicutes|c__Bacilli	0.10473
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.06597
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.04246
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.00741
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.00417
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	80.17325
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	18.60368
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.33939
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.32489
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.148
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.12044
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.10473
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.06597
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.06561
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.04246
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.00741
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.00417
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	47.54458
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	18.18943
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	10.66419
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	7.67141
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	6.47096
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	4.2693
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.47126
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.33939
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.29686
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.28044
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.148
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.12044
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.11309
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.10436
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.07906
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.06597
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.06561
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.04246
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.02723
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.01722
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.00741
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.00679
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	0.00417
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.00037
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	47.54458
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	18.18943
