#SampleID	Metaphlan2_Analysis
k__Bacteria	98.90875
k__Viruses	1.09125
k__Bacteria|p__Firmicutes	50.54062
k__Bacteria|p__Proteobacteria	16.08009
k__Bacteria|p__Bacteroidetes	15.38336
k__Bacteria|p__Actinobacteria	14.09138
k__Bacteria|p__Fusobacteria	2.25696
k__Viruses|p__Viruses_noname	1.09125
k__Bacteria|p__Candidatus_Saccharibacteria	0.48342
k__Bacteria|p__Spirochaetes	0.07291
k__Bacteria|p__Firmicutes|c__Negativicutes	26.87956
k__Bacteria|p__Firmicutes|c__Bacilli	15.11617
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	14.86235
k__Bacteria|p__Actinobacteria|c__Actinobacteria	14.09138
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	8.44762
k__Bacteria|p__Firmicutes|c__Clostridia	8.2014
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5.37615
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2.25696
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2.25633
k__Viruses|p__Viruses_noname|c__Viruses_noname	1.09125
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.48342
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.43122
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.34349
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.08979
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.07291
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	26.87956
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	14.86235
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	14.6828
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	11.53367
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	8.2014
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	7.78475
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	5.16449
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	2.52353
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2.25696
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2.25633
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales	1.09125
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.56976
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.48342
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.43337
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.43122
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.34349
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.21166
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.08979
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.07291
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.06302
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.03419
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.03008
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	26.87956
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	13.78728
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	13.51201
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	7.78475
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	7.52614
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	5.65512
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	5.42678
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	5.16449
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	2.52353
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	2.25633
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	1.60692
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae	1.09125
